ano,mun,tipo_parto,qtde_partos,id_option_f1,nome_option_f1,id_option_f2,nome_option_f2,id_option_f3,nome_option_f3,id_option_f7,nome_option_f7
2002.0,520980,Vaginal,51,520980.0,Hidrolina,4.0,Serra da Mesa,1.0,Centro Norte,2002.0,2002
2002.0,520995,Vaginal,233,520995.0,Indiara,3.0,Centro Sul,5.0,Centro Sudeste,2002.0,2002
2008.0,521260,Vaginal,25,521260.0,Mairipotaba,3.0,Centro Sul,5.0,Centro Sudeste,2008.0,2008
2019.0,521645,Cesárea,22,521645.0,Perolândia,8.0,Sudoeste II,2.0,Sudoeste,2019.0,2019
2016.0,520590,Vaginal,47,520590.0,Corumbaíba,12.0,Estrada de Ferro,5.0,Centro Sudeste,2016.0,2016
2003.0,520490,Vaginal,356,520490.0,Campos Belos,9.0,Nordeste I,3.0,Nordeste,2003.0,2003
2003.0,520810,Vaginal,74,520810.0,Formoso,15.0,Norte,1.0,Centro Norte,2003.0,2003
2009.0,520440,Vaginal,195,520440.0,Caiapônia,8.0,Sudoeste II,2.0,Sudoeste,2009.0,2009
2019.0,522020,Vaginal,260,522020.0,São Miguel do Araguaia,15.0,Norte,1.0,Centro Norte,2019.0,2019
2019.0,522230,Cesárea,6,522230.0,Vila Propício,13.0,São Patrício II,1.0,Centro Norte,2019.0,2019
2016.0,521056,Vaginal,56,521056.0,Itaguari,1.0,Central,4.0,Centro Oeste,2016.0,2016
2009.0,520915,Vaginal,34,520915.0,Gouvelândia,17.0,Sul,5.0,Centro Sudeste,2009.0,2009
2009.0,521130,Vaginal,96,521130.0,Itarumã,2.0,Sudoeste I,2.0,Sudoeste,2009.0,2009
2020.0,520840,Cesárea,80,520840.0,Goianápolis,5.0,Pireneus,1.0,Centro Norte,2020.0,2020
2020.0,520940,Cesárea,20,520940.0,Guarani de Goiás,10.0,Nordeste II,3.0,Nordeste,2020.0,2020
2010.0,521720,Cesárea,2,521720.0,Piranhas,18.0,Oeste I,4.0,Centro Oeste,2010.0,2010
2010.0,522140,Vaginal,1239,522140.0,Trindade,1.0,Central,4.0,Centro Oeste,2010.0,2010
2017.0,521120,Vaginal,306,521120.0,Itapuranga,11.0,Rio Vermelho,4.0,Centro Oeste,2017.0,2017
2017.0,521200,Cesárea,3,521200.0,Jaupaci,18.0,Oeste I,4.0,Centro Oeste,2017.0,2017
2011.0,520340,Vaginal,95,520340.0,Bom Jardim de Goiás,18.0,Oeste I,4.0,Centro Oeste,2011.0,2011
2018.0,520393,Vaginal,39,520393.0,Buriti de Goiás,16.0,Oeste II,4.0,Centro Oeste,2018.0,2018
1999.0,520545,Vaginal,143,520545.0,Cezarina,3.0,Centro Sul,5.0,Centro Sudeste,1999.0,1999
1999.0,520760,Vaginal,94,520760.0,Fazenda Nova,18.0,Oeste I,4.0,Centro Oeste,1999.0,1999
2012.0,522150,Cesárea,4,522150.0,Turvânia,16.0,Oeste II,4.0,Centro Oeste,2012.0,2012
2013.0,521300,Vaginal,124,521300.0,Maurilândia,2.0,Sudoeste I,2.0,Sudoeste,2013.0,2013
2022.0,520280,Vaginal,11,520280.0,Avelinópolis,1.0,Central,4.0,Centro Oeste,2022.0,2022
2025.0,520450,Cesárea,623,520450.0,Caldas Novas,12.0,Estrada de Ferro,5.0,Centro Sudeste,2025.0,2025
2013.0,522045,Vaginal,1562,522045.0,Senador Canedo,3.0,Centro Sul,5.0,Centro Sudeste,2013.0,2013
2012.0,521375,Vaginal,107,521375.0,Montividiu,2.0,Sudoeste I,2.0,Sudoeste,2012.0,2012
2014.0,520150,Cesárea,35,520150.0,Aporé,8.0,Sudoeste II,2.0,Sudoeste,2014.0,2014
2014.0,520280,Vaginal,14,520280.0,Avelinópolis,1.0,Central,4.0,Centro Oeste,2014.0,2014
2024.0,520540,Cesárea,43,520540.0,Ceres,14.0,São Patrício I,1.0,Centro Norte,2024.0,2024
2006.0,521878,Vaginal,33,521878.0,Rio Quente,12.0,Estrada de Ferro,5.0,Centro Sudeste,2006.0,2006
2006.0,522200,Vaginal,153,522200.0,Vianópolis,3.0,Centro Sul,5.0,Centro Sudeste,2006.0,2006
2014.0,521180,Cesárea,153,521180.0,Jaraguá,13.0,São Patrício II,1.0,Centro Norte,2014.0,2014
2015.0,520013,Cesárea,45,520013.0,Acreúna,2.0,Sudoeste I,2.0,Sudoeste,2015.0,2015
2001.0,520330,Vaginal,307,520330.0,Bela Vista de Goiás,3.0,Centro Sul,5.0,Centro Sudeste,2001.0,2001
2015.0,520780,Vaginal,60,520780.0,Firminópolis,16.0,Oeste II,4.0,Centro Oeste,2015.0,2015
2024.0,520920,Cesárea,75,520920.0,Guapó,1.0,Central,4.0,Centro Oeste,2024.0,2024
2023.0,521020,Cesárea,156,521020.0,Iporá,18.0,Oeste I,4.0,Centro Oeste,2023.0,2023
2022.0,521230,Cesárea,40,521230.0,Leopoldo de Bulhões,3.0,Centro Sul,5.0,Centro Sudeste,2022.0,2022
2022.0,521945,Cesárea,5,521945.0,Santa Rita do Novo Destino,13.0,São Patrício II,1.0,Centro Norte,2022.0,2022
1995.0,522160,Vaginal,939,522160.0,Uruaçu,4.0,Serra da Mesa,1.0,Centro Norte,1995.0,1995
2023.0,521440,Vaginal,51,521440.0,Nazário,1.0,Central,4.0,Centro Oeste,2023.0,2023
1996.0,521720,Vaginal,252,521720.0,Piranhas,18.0,Oeste I,4.0,Centro Oeste,1996.0,1996
2016.0,520120,Cesárea,5,520120.0,Anhanguera,12.0,Estrada de Ferro,5.0,Centro Sudeste,2016.0,2016
2008.0,521880,Vaginal,2785,521880.0,Rio Verde,2.0,Sudoeste I,2.0,Sudoeste,2008.0,2008
2019.0,520549,Cesárea,192,520549.0,Cidade Ocidental,6.0,Entorno Sul,3.0,Nordeste,2019.0,2019
1997.0,521020,Vaginal,622,521020.0,Iporá,18.0,Oeste I,4.0,Centro Oeste,1997.0,1997
2003.0,521710,Vaginal,306,521710.0,Piracanjuba,3.0,Centro Sul,5.0,Centro Sudeste,2003.0,2003
2016.0,522145,Vaginal,26,522145.0,Trombas,15.0,Norte,1.0,Centro Norte,2016.0,2016
1998.0,521130,Vaginal,91,521130.0,Itarumã,2.0,Sudoeste I,2.0,Sudoeste,1998.0,1998
2020.0,521878,Vaginal,28,521878.0,Rio Quente,12.0,Estrada de Ferro,5.0,Centro Sudeste,2020.0,2020
2020.0,521971,Cesárea,19,521971.0,Santo Antônio da Barra,2.0,Sudoeste I,2.0,Sudoeste,2020.0,2020
2017.0,520215,Cesárea,7,520215.0,Araguapaz,11.0,Rio Vermelho,4.0,Centro Oeste,2017.0,2017
2020.0,521380,Vaginal,499,521380.0,Morrinhos,17.0,Sul,5.0,Centro Sudeste,2020.0,2020
1998.0,521805,Vaginal,33,521805.0,Porteirão,2.0,Sudoeste I,2.0,Sudoeste,1998.0,1998
1998.0,521960,Vaginal,80,521960.0,Santa Tereza de Goiás,15.0,Norte,1.0,Centro Norte,1998.0,1998
2017.0,520890,Cesárea,25,520890.0,Goiás,11.0,Rio Vermelho,4.0,Centro Oeste,2017.0,2017
2004.0,521760,Vaginal,1484,521760.0,Planaltina,7.0,Entorno Norte,3.0,Nordeste,2004.0,2004
2011.0,520440,Cesárea,18,520440.0,Caiapônia,8.0,Sudoeste II,2.0,Sudoeste,2011.0,2011
2005.0,520085,Vaginal,54,520085.0,Americano do Brasil,11.0,Rio Vermelho,4.0,Centro Oeste,2005.0,2005
1999.0,521160,Vaginal,29,521160.0,Ivolândia,18.0,Oeste I,4.0,Centro Oeste,1999.0,1999
2021.0,520017,Vaginal,37,520017.0,Água Fria de Goiás,7.0,Entorno Norte,3.0,Nordeste,2021.0,2021
2023.0,522157,Cesárea,5,522157.0,Uirapuru,14.0,São Patrício I,1.0,Centro Norte,2023.0,2023
2023.0,520055,Cesárea,66,520055.0,Alto Horizonte,4.0,Serra da Mesa,1.0,Centro Norte,2023.0,2023
2006.0,520547,Vaginal,98,520547.0,Chapadão do Céu,8.0,Sudoeste II,2.0,Sudoeste,2006.0,2006
2013.0,521550,Cesárea,24,521550.0,Ouvidor,12.0,Estrada de Ferro,5.0,Centro Sudeste,2013.0,2013
2013.0,521690,Vaginal,23,521690.0,Pilar de Goiás,14.0,São Patrício I,1.0,Centro Norte,2013.0,2013
2025.0,520355,Cesárea,48,520355.0,Bonfinópolis,3.0,Centro Sul,5.0,Centro Sudeste,2025.0,2025
2013.0,522170,Cesárea,20,522170.0,Uruana,14.0,São Patrício I,1.0,Centro Norte,2013.0,2013
2023.0,520465,Vaginal,31,520465.0,Campinaçu,15.0,Norte,1.0,Centro Norte,2023.0,2023
2022.0,520500,Vaginal,79,520500.0,Carmo do Rio Verde,14.0,São Patrício I,1.0,Centro Norte,2022.0,2022
2014.0,520150,Vaginal,36,520150.0,Aporé,8.0,Sudoeste II,2.0,Sudoeste,2014.0,2014
2015.0,520510,Vaginal,827,520510.0,Catalão,12.0,Estrada de Ferro,5.0,Centro Sudeste,2015.0,2015
2015.0,520850,Cesárea,23,520850.0,Goiandira,12.0,Estrada de Ferro,5.0,Centro Sudeste,2015.0,2015
2015.0,520860,Vaginal,822,520860.0,Goianésia,13.0,São Patrício II,1.0,Centro Norte,2015.0,2015
2024.0,520880,Cesárea,284,520880.0,Goianira,1.0,Central,4.0,Centro Oeste,2024.0,2024
2024.0,520910,Cesárea,247,520910.0,Goiatuba,17.0,Sul,5.0,Centro Sudeste,2024.0,2024
2021.0,522119,Vaginal,40,522119.0,Terezópolis de Goiás,5.0,Pireneus,1.0,Centro Norte,2021.0,2021
2025.0,521200,Cesárea,5,521200.0,Jaupaci,18.0,Oeste I,4.0,Centro Oeste,2025.0,2025
2015.0,522130,Vaginal,13,522130.0,Três Ranchos,12.0,Estrada de Ferro,5.0,Centro Sudeste,2015.0,2015
1995.0,520080,Vaginal,209,520080.0,Alvorada do Norte,10.0,Nordeste II,3.0,Nordeste,1995.0,1995
1995.0,521180,Vaginal,636,521180.0,Jaraguá,13.0,São Patrício II,1.0,Centro Norte,1995.0,1995
1995.0,521308,Vaginal,820,521308.0,Minaçu,15.0,Norte,1.0,Centro Norte,1995.0,1995
2007.0,520455,Vaginal,35,520455.0,Caldazinha,3.0,Centro Sul,5.0,Centro Sudeste,2007.0,2007
2008.0,520500,Vaginal,112,520500.0,Carmo do Rio Verde,14.0,São Patrício I,1.0,Centro Norte,2008.0,2008
1997.0,520690,Vaginal,31,520690.0,Davinópolis,12.0,Estrada de Ferro,5.0,Centro Sudeste,1997.0,1997
2016.0,520090,Cesárea,1,520090.0,Amorinópolis,18.0,Oeste I,4.0,Centro Oeste,2016.0,2016
2019.0,520485,Vaginal,65,520485.0,Campo Limpo de Goiás,5.0,Pireneus,1.0,Centro Norte,2019.0,2019
1997.0,520890,Vaginal,826,520890.0,Goiás,11.0,Rio Vermelho,4.0,Centro Oeste,1997.0,1997
2009.0,520410,Vaginal,98,520410.0,Cachoeira Alta,2.0,Sudoeste I,2.0,Sudoeste,2009.0,2009
2009.0,521340,Vaginal,17,521340.0,Moiporá,18.0,Oeste I,4.0,Centro Oeste,2009.0,2009
1997.0,522005,Vaginal,39,522005.0,São João da Paraúna,16.0,Oeste II,4.0,Centro Oeste,1997.0,1997
2003.0,521375,Vaginal,135,521375.0,Montividiu,2.0,Sudoeste I,2.0,Sudoeste,2003.0,2003
2003.0,521450,Vaginal,322,521450.0,Nerópolis,1.0,Central,4.0,Centro Oeste,2003.0,2003
2016.0,521410,Vaginal,29,521410.0,Mutunópolis,15.0,Norte,1.0,Centro Norte,2016.0,2016
2020.0,520650,Vaginal,30,520650.0,Cromínia,3.0,Centro Sul,5.0,Centro Sudeste,2020.0,2020
1998.0,520570,Vaginal,51,520570.0,Córrego do Ouro,16.0,Oeste II,4.0,Centro Oeste,1998.0,1998
2020.0,520960,Cesárea,2,520960.0,Heitoraí,11.0,Rio Vermelho,4.0,Centro Oeste,2020.0,2020
2004.0,520500,Vaginal,113,520500.0,Carmo do Rio Verde,14.0,São Patrício I,1.0,Centro Norte,2004.0,2004
2020.0,521523,Vaginal,1084,521523.0,Novo Gama,6.0,Entorno Sul,3.0,Nordeste,2020.0,2020
2020.0,521710,Cesárea,71,521710.0,Piracanjuba,3.0,Centro Sul,5.0,Centro Sudeste,2020.0,2020
2017.0,520547,Vaginal,115,520547.0,Chapadão do Céu,8.0,Sudoeste II,2.0,Sudoeste,2017.0,2017
2010.0,521300,Vaginal,207,521300.0,Maurilândia,2.0,Sudoeste I,2.0,Sudoeste,2010.0,2010
2010.0,521487,Vaginal,41,521487.0,Nova Iguaçu de Goiás,4.0,Serra da Mesa,1.0,Centro Norte,2010.0,2010
1998.0,520960,Vaginal,56,520960.0,Heitoraí,11.0,Rio Vermelho,4.0,Centro Oeste,1998.0,1998
2017.0,521385,Cesárea,1,521385.0,Morro Agudo de Goiás,14.0,São Patrício I,1.0,Centro Norte,2017.0,2017
2011.0,520740,Cesárea,26,520740.0,Edéia,3.0,Centro Sul,5.0,Centro Sudeste,2011.0,2011
2018.0,520580,Vaginal,37,520580.0,Corumbá de Goiás,5.0,Pireneus,1.0,Centro Norte,2018.0,2018
